"CID","G","GS","RA","W","SVO","L","BS","SV","SD","MD","HLD","BF","AB","IP","X1B","X2B","X3B","HA","TB","HR","R","ER","IBB","BB","K","SH","SF","WP","DP","HP","IR","IRS","GB","FB","SB","CS","outs","UBB","ERA","WHIP","FIP","K9","BB9","HR9","H9","R9","BAA","OBPA","SLGA","OPSA","pBABIP","WOBAa","Krate","BBrate","HRrate","BIPrate","X1Brate","X2Brate","X3Brate","dRPW","RAA9","WPGAA","fWAA","fWAA.500"
"61762",51,0,51,0,4,1,3,1,15,9,8,306,267,74.3333333333333,46,9,1,59,79,3,27,24,1,33,50,2,2,2,4,2,30,10,83,75,4,5,223,32,2.90582959641256,1.22421524663677,3.59441672483526,6.05381165919283,3.99551569506726,0.36322869955157,7.14349775784753,3.26905829596413,0.220973782771536,0.303921568627451,0.295880149812734,0.599801718440185,0.259259259259259,0.270033338818303,0.163398692810458,0.104575163398693,0.00980392156862745,0.712418300653595,0.150326797385621,0.0294117647058824,0.00326797385620915,28.2107843137255,1.5050287281229,0.0533494110403251,0.440626617110833,0.719978132534042
"61763",103,0,103,10,19,3,6,12,38,12,24,549,489,135,75,23,3,109,162,8,49,45,3,48,95,5,4,6,9,3,50,11,155,132,8,7,405,45,3,1.14074074074074,3.486527669861,6.33333333333333,3.2,0.533333333333333,7.26666666666667,3.26666666666667,0.222903885480573,0.285974499089253,0.331288343558282,0.617262842647535,0.258974358974359,0.270725158762879,0.17304189435337,0.0819672131147541,0.0145719489981785,0.719489981785064,0.136612021857924,0.0418943533697632,0.00546448087431694,28.3907766990291,1.50742035742036,0.0530954250882437,0.796431376323656,0.725347337271089
"61769",65,44,21,18,2,14,0,1,5,3,2,1198,1096,287,199,61,4,290,437,26,140,138,1,80,183,2,9,7,11,11,14,5,269,358,31,21,861,79,4.32752613240418,1.28571428571429,3.85178770341372,5.73867595818815,2.50871080139373,0.815331010452962,9.09407665505226,4.39024390243902,0.264598540145985,0.317195325542571,0.398722627737226,0.715917953279797,0.294642857142857,0.306293471382866,0.152754590984975,0.0659432387312187,0.0217028380634391,0.749582637729549,0.166110183639399,0.0509181969949917,0.00333889816360601,24.9923076923077,0.383843121647999,0.0153584505430101,0.489763922871545,0.204408982834535
"61777",138,3,135,12,21,11,7,14,34,25,5,985,871,227.333333333333,162,39,5,235,371,29,111,104,9,90,180,6,10,8,11,8,110,43,207,258,13,20,682,81,4.11730205278592,1.3900293255132,4.2672597215608,7.12609970674487,3.56304985337243,1.14809384164223,9.30351906158358,4.39442815249267,0.269804822043628,0.328934010152284,0.425947187141217,0.754881197293501,0.306547619047619,0.323366858983467,0.182741116751269,0.0822335025380711,0.0294416243654822,0.688324873096447,0.164467005076142,0.0395939086294416,0.0050761421319797,28.1322463768116,0.379658871594356,0.0134955049983955,0.340886459589102,0.173038811974164
"61795",327,1,326,21,32,12,20,12,76,60,72,1549,1334,358.666666666667,205,60,13,325,552,47,175,158,7,193,321,2,11,13,42,9,232,84,331,357,20,21,1076,186,3.96468401486989,1.42472118959108,4.59289556191663,8.05483271375465,4.84293680297398,1.17936802973978,8.15520446096654,4.39126394052045,0.243628185907046,0.335700451904454,0.413793103448276,0.74949355535273,0.284544524053224,0.322635367998675,0.207230471271788,0.120077469335055,0.0303421562298257,0.632020658489348,0.13234344738541,0.0387346675274371,0.00839251129761136,28.7561162079511,0.382823083566578,0.0133127533912499,0.530537875888331,0.17125173527706
"61807",52,18,34,8,4,6,0,2,6,3,4,656,601,156,113,32,1,167,264,21,78,74,0,46,94,0,4,6,17,5,26,9,160,178,9,12,468,46,4.26923076923077,1.36538461538462,4.55305188638522,5.42307692307692,2.65384615384615,1.21153846153846,9.63461538461539,4.5,0.277870216306156,0.332317073170732,0.439267886855241,0.771584960025973,0.297959183673469,0.327190089319441,0.143292682926829,0.0701219512195122,0.0320121951219512,0.746951219512195,0.172256097560976,0.0487804878048781,0.00152439024390244,26.625,0.274087024087024,0.0102943483225173,0.178435370923634,0.13600256930155
"61830",82,0,82,5,4,5,1,3,14,13,3,505,442,117.666666666667,74,33,3,117,177,7,66,59,3,49,104,3,7,3,7,4,64,24,91,136,6,11,353,46,4.51274787535411,1.38526912181303,3.30203496185555,7.95467422096317,3.74787535410765,0.535410764872521,8.94900849858357,5.04815864022663,0.264705882352941,0.330693069306931,0.400452488687783,0.731145557994713,0.325443786982249,0.315067224026726,0.205940594059406,0.0910891089108911,0.0138613861386139,0.675247524752475,0.146534653465347,0.0653465346534653,0.00594059405940594,28.4512195121951,-0.274071616139605,-0.00963303580087768,-0.125943023618882,-0.124696062988992
"61832",22,0,22,0,1,0,0,1,3,1,3,140,125,32.3333333333333,22,6,4,35,58,3,18,16,0,12,19,1,2,0,3,0,12,2,36,36,2,1,97,12,4.45360824742268,1.45360824742268,4.26789460380526,5.28865979381443,3.34020618556701,0.835051546391752,9.74226804123711,5.01030927835051,0.28,0.335714285714286,0.464,0.799714285714286,0.304761904761905,0.335342431418403,0.135714285714286,0.0857142857142857,0.0214285714285714,0.757142857142857,0.157142857142857,0.0428571428571429,0.0285714285714286,28.4090909090909,-0.236222254263491,-0.00831502335007488,-0.0298724912947134,-0.106687468909691
"61846",49,23,26,14,8,10,4,3,5,7,0,759,699,181.333333333333,126,31,5,183,287,21,89,76,0,52,126,0,4,2,15,4,12,6,198,187,7,13,544,52,3.77205882352941,1.29595588235294,4.09966764807451,6.25367647058824,2.58088235294118,1.04227941176471,9.08272058823529,4.41727941176471,0.261802575107296,0.314888010540184,0.410586552217453,0.725474562757638,0.29136690647482,0.308637601331672,0.16600790513834,0.0685111989459816,0.0276679841897233,0.732542819499341,0.16600790513834,0.0408432147562582,0.00658761528326746,25.8112244897959,0.356807612322318,0.0138237382911987,0.2785227270523,0.183480057346706
"61848",43,14,29,5,1,3,0,1,6,5,2,497,435,112,82,19,0,115,176,14,61,58,0,58,90,2,0,3,10,2,20,6,112,115,14,7,336,58,4.66071428571429,1.54464285714286,4.69499327832661,7.23214285714286,4.66071428571429,1.125,9.24107142857143,4.90178571428571,0.264367816091954,0.352112676056338,0.404597701149425,0.756710377205763,0.305135951661631,0.329243106418431,0.181086519114688,0.116700201207243,0.028169014084507,0.670020120724346,0.164989939637827,0.0382293762575453,0,27.156976744186,-0.12769869019869,-0.00470224249928809,-0.0585167955466962,-0.0588700156405394
