"CID","POS","G","IP","TC","A","PO","E","DP","TP","ZR","SBA","RTO","PB","CER","BIZ-R","BIZ-Rm","BIZ-L","BIZ-Lm","BIZ-E","BIZ-Em","BIZ-U","BIZ-Um","BIZ-Z","BIZ-Zm","BIZ-I","FRM","ARM","outs","TCip","Eip","PBip","SBip","RTOip","FRMip","ARMip","ZRip","dWAR","dWAA"
"68241",4,1,8,3,2,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,2,0,0,0,0,24,0.375,0,0,0,0,0,0,0,0,0
"68253",2,68,589.333333333333,605,31,574,0,0,0,1.5,12,1,4,300,17,17,6,6,9,7,0,0,0,0,0,-1.4,0,1768,1.02658371040724,0,0.00678733031674208,0.0203619909502262,0.00169683257918552,-0.00237556561085973,0,0.00254524886877828,0.1,0.1
"69302",1,1,5,1,1,0,0,0,0,-0.1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0.2,0,0,0.2,0,0,0,-0.02,-0.1,-0.1
"69336",7,7,55,14,0,14,0,0,0,-0.5,0,0,0,0,13,13,2,1,2,0,2,0,3,0,3,0,-0.2,165,0.254545454545455,0,0,0,0,0,-0.00363636363636364,-0.00909090909090909,-0.7,-0.7
"69336",8,1,8,4,0,4,0,0,0,0.3,0,0,0,0,2,2,1,1,0,0,1,1,0,0,0,0,-0.1,24,0.5,0,0,0,0,0,-0.0125,0.0375,0.2,0.2
"69336",9,29,254,54,6,47,1,0,0,-0.3,0,0,0,0,37,35,10,8,8,2,7,1,10,1,8,0,2.3,762,0.21259842519685,0.00393700787401575,0,0,0,0,0.00905511811023622,-0.00118110236220472,2,2
"69347",8,8,68,19,1,17,1,0,0,-0.9,0,0,0,0,8,8,7,6,3,1,3,2,5,0,1,0,-0.3,204,0.279411764705882,0.0147058823529412,0,0,0,0,-0.00441176470588235,-0.0132352941176471,-1.2,-1.2
"69388",1,1,5,0,0,0,0,0,0,-0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0.2,0,0,0,-0.02,-0.1,-0.1
"69564",3,36,235.666666666667,217,5,211,1,15,0,-0.4,0,0,0,0,36,33,1,0,3,2,3,0,3,0,0,0,0,707,0.920792079207921,0.00424328147100424,0,0,0,0,0,-0.0016973125884017,-0.4,-0.4
"69564",7,329,2764,581,7,562,12,0,0,-7.5,0,0,0,0,475,448,106,79,54,15,68,14,119,6,124,0,-7.3,8292,0.210202604920405,0.00434153400868307,0,0,0,0,-0.0026410998552822,-0.00271345875542692,-14.8,-14.8
"69564",8,4,14,4,0,4,0,0,0,0.2,0,0,0,0,2,2,1,1,1,1,0,0,1,0,1,0,-0.2,42,0.285714285714286,0,0,0,0,0,-0.0142857142857143,0.0142857142857143,0,0
"69564",9,171,1460.66666666667,328,15,309,4,0,0,0.0999999999999999,0,0,0,0,255,245,50,41,36,17,33,2,52,4,78,0,2.5,4382,0.224554997717937,0.00273847558192606,0,0,0,0,0.00171154723870379,6.84618895481514e-05,2.6,2.6
"69638",1,6,28.3333333333333,2,1,1,0,0,0,0.3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.4,0,85,0.0705882352941176,0,0,0.0705882352941176,0.0352941176470588,-0.0141176470588235,0,0.0105882352941176,-0.1,-0.1
"69852",1,4,4.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"70267",1,3,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,8,0,0,0,0,0,-0.0375,0,0,-0.1,-0.1
"70273",1,7,33.3333333333333,2,0,1,1,0,0,-0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,100,0.06,0.03,0,0,0,0.006,0,-0.012,-0.2,-0.2
"70294",7,13,30,6,0,6,0,0,0,0.2,0,0,0,0,5,5,0,0,1,1,1,0,3,0,1,0,0,90,0.2,0,0,0,0,0,0,0.00666666666666667,0.2,0.2
"70294",8,16,127,44,1,43,0,0,0,0.2,0,0,0,0,30,30,8,7,5,4,5,2,5,0,9,0,-0.5,381,0.346456692913386,0,0,0,0,0,-0.00393700787401575,0.0015748031496063,-0.3,-0.3
"70312",6,496,4139.66666666667,1968,1176,739,53,229,0,45.6,0,0,0,0,1201,1113,142,95,222,128,186,57,262,51,56,0,-0.1,12419,0.47540059586118,0.012802963201546,0,0,0,0,-2.41565343425397e-05,0.0110153796601981,45.5,45.5
"70315",5,14,67.6666666666667,21,13,6,2,2,0,0.1,0,0,0,0,14,12,2,2,3,2,2,2,1,0,0,0,0,203,0.310344827586207,0.0295566502463054,0,0,0,0,0,0.00147783251231527,0.1,0.1
"70315",6,24,160.666666666667,61,34,25,2,8,0,-1.6,0,0,0,0,33,30,6,5,6,1,9,2,12,0,7,0,0,482,0.379668049792531,0.012448132780083,0,0,0,0,0,-0.00995850622406639,-1.6,-1.6
"70316",6,55,478.666666666667,198,135,61,2,26,0,2,0,0,0,0,144,138,17,8,20,8,22,6,30,4,8,0,0,1436,0.413649025069638,0.00417827298050139,0,0,0,0,0,0.00417827298050139,2,2
"70323",5,6,51,18,12,4,2,0,0,-0.1,0,0,0,0,12,10,4,4,1,1,1,1,2,0,0,0,0,153,0.352941176470588,0.0392156862745098,0,0,0,0,0,-0.00196078431372549,-0.1,-0.1
"70350",1,27,30.3333333333333,5,2,3,0,1,0,0.7,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.1,0,91,0.164835164835165,0,0,0.032967032967033,0.032967032967033,0.0032967032967033,0,0.0230769230769231,0.8,0.8
"70352",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,6,0,0,0,0,0,0.05,0,0,0.1,0.1
"70353",1,8,9.66666666666667,1,0,0,1,0,0,-0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0.103448275862069,0.103448275862069,0,0,0,0,0,-0.0517241379310345,-0.5,-0.5
"70355",1,2,1.66666666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.6,0,0,0,0,0,0,0,0,0
"70357",1,14,14,2,1,1,0,0,0,-0.2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-0.2,0,42,0.142857142857143,0,0,0,0,-0.0142857142857143,0,-0.0142857142857143,-0.4,-0.4
"70359",1,13,16.3333333333333,3,2,1,0,0,0,0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.2,0,49,0.183673469387755,0,0,0,0,0.0122448979591837,0,0.0244897959183673,0.6,0.6
"70363",1,31,135.333333333333,12,9,3,0,0,0,-0.7,0,0,0,0,13,8,0,0,1,1,0,0,0,0,0,-0.5,0,406,0.0886699507389162,0,0,0,0,-0.00369458128078818,0,-0.00517241379310345,-1.2,-1.2
"70371",1,4,6.66666666666667,0,0,0,0,0,0,-0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.1,0,20,0,0,0,0,0,-0.015,0,-0.075,-0.6,-0.6
"70373",1,7,19.3333333333333,3,2,0,1,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,58,0.155172413793103,0.0517241379310345,0,0.0517241379310345,0.0517241379310345,0,0,0,0,0
"70382",1,1,5.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"70384",1,2,7,2,0,2,0,0,0,-0.1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,0.285714285714286,0,0,0.142857142857143,0,0,0,-0.0142857142857143,-0.1,-0.1
"70385",1,10,34,5,2,3,0,1,0,0.4,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,-0.1,0,102,0.147058823529412,0,0,0.0588235294117647,0.0294117647058824,-0.00294117647058824,0,0.0117647058823529,0.3,0.3
"70391",1,4,7,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,0.142857142857143,0,0,0,0,0,0,0,0,0
