"CID","PA","AB","H","X1B","X2B","X3B","HR","RBI","R","BB","IBB","HP","SH","SF","SO","GIDP","EBH","TB","SB","CS","UBR","UBB","avg","obp","slg","ops","babip","woba","wRAA","wSB","BSR","oWAA","oWAA.500","Krate","BBrate","HRrate","XBH","XBHrate","X3Brate","SBrate","CSrate","UBRrate","SBO","SBA","SBArate"
"68241",6,5,1,0,1,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,1,0.2,0.333333333333333,0.4,0.733333333333333,0.2,0.32584250075351,-0.00949986863048375,-0.00245666720837492,-0.00245666720837492,-0.00104026212669689,-0.086688510558074,0,0.166666666666667,0,1,1,0,0,0,0,1,0,0
"68253",259,227,58,47,10,0,1,22,23,25,0,3,2,4,31,8,11,71,0,0,0.6,25,0.255506607929515,0.332046332046332,0.312775330396476,0.644821662442808,0.28643216080402,0.295312273690467,-7.27513916937914,-0.184250040628119,0.415749959371881,-0.59679182194673,-1.15210776437593,0.11969111969112,0.0965250965250965,0.00386100386100386,10,0.175438596491228,0,0,0,0.00231660231660232,75,0,0
"69336",186,171,37,25,11,0,1,10,14,12,3,1,4,2,55,2,12,51,0,0,0.7,9,0.216374269005848,0.252688172043011,0.298245614035088,0.550933786078099,0.307692307692308,0.246502356817871,-13.1066030885832,-0.0859833522931224,0.614016647706878,-1.08690047971046,-2.92177548309262,0.295698924731183,0.0483870967741935,0.00537634408602151,11,0.305555555555556,0,0,0,0.00376344086021505,35,0,0
"69347",15,14,3,3,0,0,0,1,0,1,0,0,0,0,2,1,0,3,1,0,0.1,1,0.214285714285714,0.266666666666667,0.214285714285714,0.480952380952381,0.25,0.226557333936141,-1.31672507455878,0.5478395248525,0.6478395248525,-0.0581954768364321,-1.93984922788107,0.133333333333333,0.0666666666666667,0,0,0,0,1,0,0.00666666666666667,4,1,0.25
"69564",2984,2667,607,310,119,18,160,478,402,259,4,38,0,20,818,46,297,1242,3,4,5.3,255,0.227596550431196,0.301608579088472,0.465691788526434,0.767300367614906,0.261556465769456,0.326650568007568,-2.63115919784352,-3.28192698893233,2.01807301106767,-0.0533407292128188,-0.00893778974745623,0.274128686327078,0.085455764075067,0.0536193029490617,137,0.306487695749441,0.131386861313869,0.428571428571429,0.00134048257372654,0.00177613941018767,603,7,0.0116086235489221
"70294",95,83,17,14,2,0,1,7,11,11,0,1,4,0,28,0,3,22,3,0,0.3,11,0.204819277108434,0.305263157894737,0.265060240963855,0.570323398858592,0.296296296296296,0.268986171126114,-4.83981221875497,1.60912523364025,1.90912523364025,-0.25498043220095,-1.34200227474184,0.294736842105263,0.115789473684211,0.0105263157894737,2,0.125,0,1,0,0.00315789473684211,26,3,0.115384615384615
"70312",1926,1758,423,340,62,16,5,145,188,131,1,21,23,16,201,21,83,532,40,5,1.3,130,0.24061433447099,0.298026998961578,0.302616609783845,0.600643608745424,0.266581632653061,0.272221872599829,-92.7103001138702,16.7584800939526,18.0584800939526,-6.4949799927272,-1.68613187765504,0.104361370716511,0.0674974039460021,0.00259605399792316,78,0.186602870813397,0.205128205128205,0.888888888888889,0.00259605399792316,0.000674974039460021,491,45,0.0916496945010183
"70315",116,99,27,22,3,2,0,11,13,14,0,2,1,1,14,0,5,34,0,0,0.9,14,0.272727272727273,0.370689655172414,0.343434343434343,0.714123998606757,0.313953488372093,0.327586703424162,-0.00800546477632308,-0.0933533539182471,0.806646646081753,0.0694846889541717,0.29950296963005,0.120689655172414,0.120689655172414,0,5,0.185185185185185,0.4,0,0,0.00775862068965517,38,0,0
"70316",384,339,94,80,9,1,4,46,70,44,0,0,4,1,64,4,14,117,3,1,1.3,44,0.277286135693215,0.359375,0.345132743362832,0.704507743362832,0.330882352941176,0.321574479368893,-2.03088525585781,0.499983036384446,1.79998303638445,-0.0200893333257735,-0.0261579861012675,0.166666666666667,0.114583333333333,0.0104166666666667,10,0.111111111111111,0.1,0.75,0.00260416666666667,0.00338541666666667,124,4,0.032258064516129
"70323",27,27,6,5,1,0,0,0,4,0,0,0,0,0,1,0,1,7,1,0,0.1,0,0.222222222222222,0.222222222222222,0.259259259259259,0.481481481481481,0.230769230769231,0.211478333835673,-2.72357381781302,0.545382857644125,0.645382857644125,-0.180810175877322,-3.34833659032078,0.037037037037037,0,0,1,0.166666666666667,0,1,0,0.0037037037037037,5,1,0.2
"70414",205,189,59,39,16,2,2,35,44,14,0,2,4,0,32,2,20,85,0,1,-1.2,14,0.312169312169312,0.365853658536585,0.44973544973545,0.815589108272035,0.367741935483871,0.356999829523857,5.22076796296857,-1.00350550729568,-2.20350550729568,0.262512813179554,0.640275154096474,0.15609756097561,0.0682926829268293,0.00975609756097561,18,0.315789473684211,0.111111111111111,0,0.0048780487804878,-0.00585365853658537,55,1,0.0181818181818182
"70419",867,770,180,100,46,4,30,102,127,85,0,8,0,4,89,5,80,324,34,3,3.3,85,0.233766233766234,0.314878892733564,0.420779220779221,0.735658113512785,0.229007633587786,0.320131250126746,-5.67170632273257,15.8813473816024,19.1813473816024,1.17538793244257,0.677847711904595,0.102652825836217,0.0980392156862745,0.0346020761245675,50,0.333333333333333,0.08,0.918918918918919,0.00346020761245675,0.00380622837370242,193,37,0.191709844559585
"70422",134,117,30,18,10,1,1,8,20,16,0,1,0,0,32,0,12,45,2,1,-2.77555756156289e-17,16,0.256410256410256,0.350746268656716,0.384615384615385,0.735361653272101,0.345238095238095,0.329646875355749,0.230427397591028,0.160960224243815,0.160960224243815,0.034052147322599,0.127060251203728,0.238805970149254,0.119402985074627,0.00746268656716418,11,0.379310344827586,0.0909090909090909,0.666666666666667,0.00746268656716418,-2.07131161310664e-19,35,3,0.0857142857142857
"70424",99,86,23,14,2,0,7,14,18,13,1,0,0,0,33,1,9,46,0,0,-0.5,12,0.267441860465116,0.353535353535354,0.534883720930233,0.888419074465586,0.347826086956522,0.379091157337723,4.42001580430954,-0.063873347417748,-0.563873347417748,0.335498425891502,1.69443649440153,0.333333333333333,0.121212121212121,0.0707070707070707,2,0.125,0,0,0,-0.00505050505050505,26,0,0
"70426",63,54,15,11,3,0,1,8,7,7,0,2,1,0,8,0,4,21,0,0,0.2,7,0.277777777777778,0.380952380952381,0.388888888888889,0.76984126984127,0.311111111111111,0.349070218185368,1.17071349101316,-0.0491333441674985,0.150866655832502,0.114982281882181,0.912557792715723,0.126984126984127,0.111111111111111,0.0158730158730159,3,0.214285714285714,0,0,0,0.00317460317460317,20,0,0
"70428",15,14,3,2,1,0,0,0,2,1,0,0,0,0,2,0,1,4,0,0,0.2,1,0.214285714285714,0.266666666666667,0.285714285714286,0.552380952380952,0.25,0.249557333936141,-1.01719962456581,-0.00737000162512477,0.192629998374875,-0.0717405580103979,-2.39135193367993,0.133333333333333,0.0666666666666667,0,1,0.333333333333333,0,0,0,0.0133333333333333,3,0,0
"70429",375,343,76,49,14,1,12,39,42,28,1,3,0,1,106,4,27,128,3,0,-0.4,27,0.221574344023324,0.282666666666667,0.373177842565598,0.655844509232264,0.283185840707965,0.287504223360219,-13.0755785156886,1.47892187159638,1.07892187159638,-1.04375278274807,-1.39167037699743,0.282666666666667,0.072,0.032,15,0.234375,0.0666666666666667,1,0,-0.00106666666666667,79,3,0.0379746835443038
"70431",66,50,24,17,5,0,2,19,27,12,0,3,0,1,3,0,7,35,1,0,0.5,12,0.48,0.590909090909091,0.7,1.29090909090909,0.478260869565217,0.54691628743957,12.5631445724856,0.479052843018002,0.979052843018002,1.17822045393924,8.92591252984273,0.0454545454545455,0.181818181818182,0.0303030303030303,5,0.227272727272727,0,1,0,0.00757575757575758,32,1,0.03125
"70436",34,33,14,14,0,0,0,3,3,1,0,0,1,0,2,0,0,14,2,1,0.1,1,0.424242424242424,0.441176470588235,0.424242424242424,0.86541889483066,0.451612903225806,0.389236398056116,1.81745700806962,0.210093568411314,0.310093568411314,0.185104642111499,2.72212708987498,0.0588235294117647,0.0294117647058824,0,0,0,0,0.666666666666667,0.0294117647058824,0.00294117647058824,15,3,0.2
"70437",205,187,55,48,2,0,5,19,28,15,1,0,2,3,25,2,7,72,1,0,1,14,0.294117647058824,0.336585365853659,0.385026737967914,0.721612103821573,0.3125,0.319159760358353,-1.51396556640927,0.405352826766754,1.40535282676675,-0.00944970358050535,-0.0230480575134277,0.121951219512195,0.0682926829268293,0.024390243902439,2,0.04,0,1,0,0.0048780487804878,62,1,0.0161290322580645
"70443",65,61,21,18,0,2,1,9,10,3,0,0,0,1,11,0,3,28,0,0,-0.5,3,0.344262295081967,0.369230769230769,0.459016393442623,0.828247162673392,0.4,0.358144980702741,1.71998900222584,-0.0515900113758734,-0.551590011375873,0.10165496389865,0.781961260758843,0.169230769230769,0.0461538461538462,0.0153846153846154,2,0.1,1,0,0,-0.00769230769230769,21,0,0
"70444",682,626,171,107,27,3,34,97,101,42,2,8,3,6,149,11,64,306,3,1,-2.9,40,0.273162939297125,0.321114369501466,0.488817891373802,0.809932260875268,0.305122494432071,0.344491711034591,9.96247938216641,0.423826352924823,-2.47617364707518,0.651335840919664,0.477518944955765,0.218475073313783,0.0586510263929619,0.0498533724340176,30,0.218978102189781,0.1,0.75,0.00146627565982405,-0.00425219941348974,155,4,0.0258064516129032
